Feature,Importance
recent_activity_30d,0.22631346840104583
recent_max_mag_30d,0.18798428956797614
recent_avg_mag_30d,0.18466759940783362
month,0.05546053920232175
mag_squared,0.05346678427900232
mag,0.05133936334317388
longitude,0.030261008734823076
year,0.02949829263036172
latitude,0.02721359472594104
mag_depth_ratio,0.023359740490406723
lat_abs,0.021041427118386084
distance_from_equator,0.02094731134932093
depth_log,0.018005225214424617
depth,0.01741609938858784
day_of_week,0.01695991018257923
hour,0.0168800545026516
magType_mww,0.01033683253046052
magType_ml,0.0036256344079047542
magType_mwr,0.0030877721007007584
magType_md,0.0018107155851618169
magType_mb_lg,0.00015824372762068115
magType_mw,0.00013426218680503106
magType_mh,3.1830922510084576e-05
magType_mwb,0.0
